TEAM,YEAR,Total Payroll,Payroll (adj),Win %,,TEAM,YEAR,Total Payroll,Payroll (adj),Win %
LAD,2015,,2.350,0.568,, BUF,2014,"$147,684,870 ",1.118,0.563
NYY,2015,,1.720,0.537,, MIA,2014,"$142,455,998 ",1.079,0.500
BOS,2015,,1.430,0.481,, TB,2014,"$137,116,892 ",1.038,0.125
SF,2015,,1.410,0.519,, DEN,2014,"$135,893,026 ",1.029,0.750
WSH,2015,,1.290,0.512,, CLE,2014,"$135,401,214 ",1.025,0.438
DET,2015,,1.260,0.460,, PHI,2014,"$134,781,802 ",1.021,0.625
TEX,2015,,1.160,0.543,, NE,2014,"$134,321,836 ",1.017,0.750
LAA,2015,,1.120,0.525,, SD,2014,"$134,236,725 ",1.017,0.563
PHI,2015,,1.100,0.389,, GB,2014,"$134,037,242 ",1.015,0.750
TOR,2015,,1.080,0.574,, CAR,2014,"$133,399,424 ",1.010,0.469
CHC,2015,,1.040,0.599,, ARI,2014,"$133,228,945 ",1.009,0.688
STL,2015,,1.030,0.617,, ATL,2014,"$133,009,495 ",1.007,0.375
KC,2015,,0.980,0.586,, KC,2014,"$132,717,955 ",1.005,0.563
SEA,2015,,0.980,0.469,, WAS,2014,"$132,411,712 ",1.003,0.250
CWS,2015,,0.930,0.469,, DET,2014,"$132,391,775 ",1.003,0.688
BAL,2015,,0.910,0.500,, HOU,2014,"$132,043,412 ",1.000,0.563
NYM,2015,,0.900,0.556,, PIT,2014,"$131,947,647 ",0.999,0.688
CIN,2015,,0.880,0.395,, NYG,2014,"$131,935,198 ",0.999,0.375
ATL,2015,,0.860,0.414,, NO,2014,"$131,772,234 ",0.998,0.438
SD,2015,,0.840,0.457,, CIN,2014,"$131,642,102 ",0.997,0.656
MIN,2015,,0.830,0.512,, SF,2014,"$131,507,823 ",0.996,0.500
COL,2015,,0.790,0.420,, CHI,2014,"$131,432,644 ",0.995,0.313
PIT,2015,,0.770,0.605,, STL,2014,"$131,027,131 ",0.992,0.375
MIL,2015,,0.730,0.420,, SEA,2014,"$130,443,458 ",0.988,0.750
HOU,2015,,0.630,0.531,, DAL,2014,"$130,227,376 ",0.986,0.750
OAK,2015,,0.630,0.420,, MIN,2014,"$130,020,129 ",0.985,0.438
CLE,2015,,0.600,0.503,, JAX,2014,"$129,184,374 ",0.978,0.188
ARI,2015,,0.600,0.488,, TEN,2014,"$127,601,550 ",0.966,0.125
TB,2015,,0.570,0.494,, BAL,2014,"$124,870,620 ",0.946,0.625
MIA,2015,,0.570,0.438,, OAK,2014,"$124,442,456 ",0.942,0.188
 LAD,2016,"266,745,494",1.990,0.562,, IND,2014,"$123,726,021 ",0.937,0.688
 NYY,2016,"$220,743,376 ",1.647,0.519,, NYJ,2014,"$118,345,094 ",0.896,0.250
 BOS,2016,"$207,758,836 ",1.550,0.574,, NYJ,2015,"$153,010,332 ",1.085,0.625
 DET,2016,"$200,179,285 ",1.493,0.534,, PHI,2015,"$150,325,196 ",1.066,0.438
 CHC,2016,"$186,772,494 ",1.393,0.640,, SEA,2015,"$147,364,599 ",1.045,0.625
 SF,2016,"$178,834,344 ",1.334,0.537,, MIN,2015,"$147,022,479 ",1.042,0.688
 LAA,2016,"$174,290,373 ",1.300,0.457,, CAR,2015,"$145,230,447 ",1.030,0.938
 TEX,2016,"$161,021,690 ",1.201,0.586,, DEN,2015,"$145,098,899 ",1.029,0.750
 BAL,2016,"$154,148,832 ",1.150,0.549,, MIA,2015,"$144,878,936 ",1.027,0.375
 STL,2016,"$149,355,870 ",1.114,0.531,, ARI,2015,"$144,707,976 ",1.026,0.813
 TOR,2016,"$148,385,479 ",1.107,0.549,, CIN,2015,"$143,913,511 ",1.020,0.750
 NYM,2016,"$147,236,560 ",1.098,0.537,, IND,2015,"$143,402,177 ",1.017,0.500
 SEA,2016,"$147,003,780 ",1.097,0.531,, DET,2015,"$143,215,794 ",1.015,0.438
 KC,2016,"$141,587,358 ",1.056,0.500,, NO,2015,"$143,214,027 ",1.015,0.438
